date,region,product,revenue,units_sold,inventory,customer_count,churn_rate,promo_active
2024-01-01,Midwest,ProductA,1892.19,28,61,5,0.0287,0
2024-01-01,Midwest,ProductB,1597.91,33,65,16,0.0283,0
2024-01-01,Midwest,ProductC,1298.87,20,36,8,0.0263,0
2024-01-01,Midwest,ProductD,929.67,17,71,0,0.0383,0
2024-01-01,Midwest,ProductE,666.45,13,21,4,0.0314,0
2024-01-01,Northeast,ProductA,2952.08,45,78,14,0.0267,0
2024-01-01,Northeast,ProductB,2383.86,35,123,13,0.0226,0
2024-01-01,Northeast,ProductC,1947.15,33,70,8,0.0352,0
2024-01-01,Northeast,ProductD,1513.04,33,76,8,0.0363,0
2024-01-01,Northeast,ProductE,932.29,18,51,0,0.0202,0
2024-01-01,Southeast,ProductA,2220.55,32,88,14,0.0247,0
2024-01-01,Southeast,ProductB,1652.12,22,61,12,0.0229,0
2024-01-01,Southeast,ProductC,1592.53,22,70,2,0.0419,0
2024-01-01,Southeast,ProductD,1148.34,18,44,4,0.0366,0
2024-01-01,Southeast,ProductE,758.83,10,15,1,0.0373,0
2024-01-01,Southwest,ProductA,1688.42,27,72,2,0.0469,0
2024-01-01,Southwest,ProductB,1429.61,25,62,7,0.0353,0
2024-01-01,Southwest,ProductC,1015.15,21,30,9,0.0388,0
2024-01-01,Southwest,ProductD,782.74,11,18,1,0.0314,0
2024-01-01,Southwest,ProductE,588.98,7,31,0,0.0458,0
2024-01-01,West,ProductA,2479.31,33,80,9,0.0405,0
2024-01-01,West,ProductB,1960.75,27,100,11,0.021,0
2024-01-01,West,ProductC,1668.45,30,65,11,0.0483,0
2024-01-01,West,ProductD,1357.51,19,46,1,0.0319,0
2024-01-01,West,ProductE,881.29,12,35,8,0.0274,0
2024-01-02,Midwest,ProductA,1822.3,30,86,11,0.0462,0
2024-01-02,Midwest,ProductB,1718.9,29,82,9,0.0419,0
2024-01-02,Midwest,ProductC,1247.32,24,60,2,0.0395,0
2024-01-02,Midwest,ProductD,889.93,15,26,3,0.0267,0
2024-01-02,Midwest,ProductE,668.83,12,43,8,0.0266,0
2024-01-02,Northeast,ProductA,3015.28,66,221,22,0.0361,0
2024-01-02,Northeast,ProductB,2219.89,41,123,17,0.033,0
2024-01-02,Northeast,ProductC,2026.36,34,132,5,0.0279,0
2024-01-02,Northeast,ProductD,1327.18,22,63,0,0.0461,0
2024-01-02,Northeast,ProductE,991.01,18,67,4,0.0246,0
2024-01-02,Southeast,ProductA,2174.4,32,82,9,0.0359,0
2024-01-02,Southeast,ProductB,1975.27,43,112,20,0.0479,0
2024-01-02,Southeast,ProductC,1473.85,20,56,3,0.0217,0
2024-01-02,Southeast,ProductD,1159.43,16,65,7,0.0346,0
2024-01-02,Southeast,ProductE,860.41,18,39,3,0.0239,0
2024-01-02,Southwest,ProductA,1667.77,24,83,8,0.023,0
2024-01-02,Southwest,ProductB,1334.51,23,48,7,0.0275,0
2024-01-02,Southwest,ProductC,1199.09,23,42,4,0.0284,0
2024-01-02,Southwest,ProductD,795.26,15,46,0,0.0458,0
2024-01-02,Southwest,ProductE,532.42,8,0,0,0.0451,0
2024-01-02,West,ProductA,2597.77,55,174,14,0.0472,0
2024-01-02,West,ProductB,2106.05,29,67,13,0.0401,0
2024-01-02,West,ProductC,1786.76,34,92,8,0.0371,0
2024-01-02,West,ProductD,1337.75,22,56,8,0.0257,0
2024-01-02,West,ProductE,965.96,20,55,6,0.034,0
2024-01-03,Midwest,ProductA,1869.78,32,78,7,0.048,0
2024-01-03,Midwest,ProductB,1688.85,33,113,13,0.0319,0
2024-01-03,Midwest,ProductC,1320.6,20,28,9,0.0426,0
2024-01-03,Midwest,ProductD,952.91,20,57,1,0.0499,0
2024-01-03,Midwest,ProductE,666.48,14,37,7,0.048,0
2024-01-03,Northeast,ProductA,2818.27,38,139,5,0.025,0
2024-01-03,Northeast,ProductB,2391.5,40,72,9,0.0218,0
2024-01-03,Northeast,ProductC,1953.76,34,123,11,0.0435,0
2024-01-03,Northeast,ProductD,1583.23,26,79,7,0.0499,0
2024-01-03,Northeast,ProductE,1015.53,16,45,5,0.0289,0
2024-01-03,Southeast,ProductA,2367.3,31,91,8,0.0424,0
2024-01-03,Southeast,ProductB,2034.85,43,113,8,0.0456,0
2024-01-03,Southeast,ProductC,1626.9,32,98,12,0.0256,0
2024-01-03,Southeast,ProductD,1185.8,18,69,3,0.0236,0
2024-01-03,Southeast,ProductE,776.92,10,28,0,0.0386,0
2024-01-03,Southwest,ProductA,1736.02,26,73,10,0.0279,0
2024-01-03,Southwest,ProductB,1478.18,24,94,9,0.0228,0
2024-01-03,Southwest,ProductC,1225.3,21,45,11,0.0431,0
2024-01-03,Southwest,ProductD,860.48,13,46,0,0.0366,0
2024-01-03,Southwest,ProductE,560.24,9,17,5,0.0465,0
2024-01-03,West,ProductA,2479.18,34,93,6,0.0247,0
2024-01-03,West,ProductB,2230.08,31,82,12,0.0496,0
