region,product,date,revenue,units_sold,inventory,customer_count,churn_rate,promo_active
Midwest,ProductA,2024-01-01,57832.79,961,85.5,276,0.0339,0
Midwest,ProductA,2024-02-01,60749.38,981,96.0,289,0.0374,1
Midwest,ProductA,2024-03-01,67303.42,1112,94.6,319,0.0341,0
Midwest,ProductA,2024-04-01,73430.98,1261,112.5,402,0.0345,0
Midwest,ProductA,2024-05-01,81223.26,1415,131.8,406,0.0357,0
Midwest,ProductA,2024-06-01,82659.61,1427,134.4,401,0.0358,0
Midwest,ProductA,2024-07-01,85618.5,1405,128.2,415,0.0348,0
Midwest,ProductA,2024-08-01,80632.09,1384,119.9,405,0.0344,0
Midwest,ProductA,2024-09-01,72947.92,1214,112.9,343,0.037,0
Midwest,ProductA,2024-10-01,67524.46,1143,100.9,307,0.0365,0
Midwest,ProductA,2024-11-01,58953.36,1014,89.2,290,0.0328,1
Midwest,ProductA,2024-12-01,66939.87,1109,99.5,318,0.0332,1
Midwest,ProductA,2025-01-01,57590.77,965,84.4,282,0.0358,0
Midwest,ProductA,2025-02-01,57209.22,949,89.3,267,0.0319,1
Midwest,ProductA,2025-03-01,66916.36,1080,95.4,332,0.0329,0
Midwest,ProductA,2025-04-01,73098.67,1217,114.3,358,0.0359,0
Midwest,ProductA,2025-05-01,79982.78,1473,123.8,422,0.0332,0
Midwest,ProductA,2025-06-01,81465.75,1374,135.7,423,0.0344,0
Midwest,ProductA,2025-07-01,60871.48,1007,86.5,310,0.056,0
Midwest,ProductA,2025-08-01,58444.14,909,77.5,225,0.0535,0
Midwest,ProductA,2025-09-01,52143.32,872,81.9,245,0.058,0
Midwest,ProductA,2025-10-01,67694.45,1145,103.9,333,0.0363,0
Midwest,ProductA,2025-11-01,59409.09,993,86.0,295,0.0356,1
Midwest,ProductA,2025-12-01,68725.73,1126,99.0,301,0.0331,1
Midwest,ProductB,2024-01-01,48352.97,802,75.6,194,0.0361,0
Midwest,ProductB,2024-02-01,50792.93,886,84.9,268,0.0334,1
Midwest,ProductB,2024-03-01,56882.35,948,81.5,248,0.0356,0
Midwest,ProductB,2024-04-01,60173.1,996,86.7,276,0.0362,0
Midwest,ProductB,2024-05-01,68435.36,1164,102.9,336,0.0361,0
Midwest,ProductB,2024-06-01,67706.04,1144,107.5,311,0.0348,0
Midwest,ProductB,2024-07-01,71753.73,1219,109.0,344,0.0362,0
Midwest,ProductB,2024-08-01,66778.39,1084,96.5,339,0.033,0
Midwest,ProductB,2024-09-01,60121.39,1017,101.2,285,0.0363,0
Midwest,ProductB,2024-10-01,55732.08,970,86.8,291,0.0368,0
Midwest,ProductB,2024-11-01,49025.75,831,75.6,229,0.0355,1
Midwest,ProductB,2024-12-01,56631.55,952,83.6,276,0.0319,1
Midwest,ProductB,2025-01-01,48803.659999999996,807,69.3,196,0.0335,0
Midwest,ProductB,2025-02-01,48165.36,796,83.5,239,0.0338,1
Midwest,ProductB,2025-03-01,56176.26,945,81.2,262,0.0351,0
Midwest,ProductB,2025-04-01,60699.98,1008,84.9,267,0.0345,0
Midwest,ProductB,2025-05-01,67349.5,1157,109.0,312,0.0352,0
Midwest,ProductB,2025-06-01,68380.76,1131,100.5,343,0.0351,0
Midwest,ProductB,2025-07-01,52284.47,865,75.5,266,0.0511,0
Midwest,ProductB,2025-08-01,47922.79,792,74.6,196,0.0547,0
Midwest,ProductB,2025-09-01,44072.8,750,68.9,218,0.057,0
Midwest,ProductB,2025-10-01,56442.91,957,79.9,237,0.0337,0
Midwest,ProductB,2025-11-01,49508.64,805,73.4,203,0.0346,1
Midwest,ProductB,2025-12-01,56661.4,915,80.1,244,0.0354,1
Midwest,ProductC,2024-01-01,39000.67,654,54.4,169,0.0359,0
Midwest,ProductC,2024-02-01,39942.92,631,62.4,165,0.0347,1
Midwest,ProductC,2024-03-01,45439.8,742,69.1,193,0.0353,0
Midwest,ProductC,2024-04-01,48893.62,855,76.9,225,0.036,0
Midwest,ProductC,2024-05-01,54346.11,899,75.1,261,0.0354,0
Midwest,ProductC,2024-06-01,54197.65,913,82.2,255,0.0359,0
Midwest,ProductC,2024-07-01,56482.33,965,83.3,266,0.0345,0
Midwest,ProductC,2024-08-01,53043.36,905,80.2,266,0.0339,0
Midwest,ProductC,2024-09-01,47823.45,788,69.9,209,0.0393,0
Midwest,ProductC,2024-10-01,45071.79,744,61.7,197,0.0368,0
