region,product,date,revenue,units_sold,inventory,customer_count,churn_rate,promo_active
Midwest,ProductA,2024-01-01,1892.19,28,61.0,5,0.0287,0
Midwest,ProductA,2024-01-08,12448.45,188,81.1,56,0.0363,0
Midwest,ProductA,2024-01-15,12677.26,213,84.9,59,0.0373,0
Midwest,ProductA,2024-01-22,13247.89,229,89.7,68,0.0354,0
Midwest,ProductA,2024-01-29,13437.98,244,93.4,69,0.03,0
Midwest,ProductA,2024-02-05,13165.74,193,60.7,54,0.0315,0
Midwest,ProductA,2024-02-12,14773.74,245,95.3,71,0.0386,1
Midwest,ProductA,2024-02-19,15732.06,275,125.7,99,0.0394,1
Midwest,ProductA,2024-02-26,14579.5,229,101.6,55,0.0372,0
Midwest,ProductA,2024-03-04,14588.46,221,78.0,61,0.0346,0
Midwest,ProductA,2024-03-11,14439.07,232,86.1,64,0.0303,0
Midwest,ProductA,2024-03-18,15566.33,246,93.0,77,0.0332,0
Midwest,ProductA,2024-03-25,15289.31,260,105.0,70,0.04,0
Midwest,ProductA,2024-04-01,16556.11,284,104.6,87,0.0341,0
Midwest,ProductA,2024-04-08,16839.86,292,99.3,104,0.0292,0
Midwest,ProductA,2024-04-15,16602.66,260,98.3,85,0.0295,0
Midwest,ProductA,2024-04-22,17334.97,328,133.6,94,0.0419,0
Midwest,ProductA,2024-04-29,17611.54,308,123.1,94,0.0363,0
Midwest,ProductA,2024-05-06,17420.67,323,134.0,87,0.0423,0
Midwest,ProductA,2024-05-13,18181.27,287,118.4,80,0.0322,0
Midwest,ProductA,2024-05-20,18228.0,317,132.7,102,0.0359,0
Midwest,ProductA,2024-05-27,18483.17,315,116.7,89,0.0326,0
Midwest,ProductA,2024-06-03,19304.29,368,166.6,114,0.037,0
Midwest,ProductA,2024-06-10,19839.170000000002,355,146.1,98,0.0402,0
Midwest,ProductA,2024-06-17,18878.18,322,127.6,88,0.0369,0
Midwest,ProductA,2024-06-24,19426.86,319,128.7,88,0.0348,0
Midwest,ProductA,2024-07-01,19534.98,317,120.4,87,0.0304,0
Midwest,ProductA,2024-07-08,19258.82,302,123.6,97,0.0333,0
Midwest,ProductA,2024-07-15,19444.67,334,139.6,87,0.0358,0
Midwest,ProductA,2024-07-22,19312.18,292,119.9,90,0.0303,0
Midwest,ProductA,2024-07-29,19009.71,336,126.7,101,0.0389,0
Midwest,ProductA,2024-08-05,18747.67,309,125.3,85,0.0334,0
Midwest,ProductA,2024-08-12,18341.81,326,130.7,88,0.029,0
Midwest,ProductA,2024-08-19,18302.48,304,105.3,96,0.037,0
Midwest,ProductA,2024-08-26,17957.66,315,123.4,87,0.0366,0
