CustomerID,Annual_Income_k,Spending_Score
1062,25,88
1058,30,75
1011,22,25
1180,80,74
1097,55,43
1044,24,67
1100,77,51
1116,58,56
1120,46,58
1108,54,40
1033,25,22
1131,72,22
1089,53,55
1138,76,26
1031,21,25
1143,56,30
1088,70,55
1140,88,29
1086,58,42
1071,15,80
1024,15,12
1065,27,80
1040,26,6
1157,84,29
1178,82,81
1146,72,25
1153,91,31
1076,30,72
1009,22,25
1170,90,74
1130,85,19
1199,88,79
1117,48,32
1020,15,30
1013,27,17
1041,26,84
1164,102,83
1077,28,93
1105,53,46
1169,90,81
1135,70,27
1172,78,84
1010,29,8
1155,74,34
1037,26,23
1183,87,63
1015,15,30
1035,31,1
1152,71,33
1018,27,20
1064,22,79
1060,26,68
1127,78,23
1087,62,55
1122,81,29
1139,86,31
1168,91,80
1007,36,18
1101,60,71
1068,29,67
1059,28,85
1128,77,29
1136,78,18
1187,73,83
1002,24,23
1028,28,30
1014,15,27
1134,90,31
1144,74,29
1161,86,84
1124,89,14
1090,49,85
1036,16,29
1119,55,44
1094,58,56
1048,30,73
1063,26,65
1167,94,82
1159,83,27
1026,26,33
1073,28,73
1156,86,24
1045,22,83
1184,81,76
1049,24,79
1137,92,31
1046,24,96
1188,74,95
1150,83,22
1182,87,75
1070,27,80
1200,78,90
1022,23,21
1193,92,69
1042,30,71
1175,93,97
1198,83,91
1005,23,10
1021,35,18
1019,19,25
1141,75,17
1061,18,80
1158,77,22
1177,78,87
1093,54,59
1027,17,21
1109,48,44
1096,62,57
1067,41,68
1025,21,29
1056,18,90
1114,45,44
1104,59,35
1179,88,98
1008,30,30
1016,21,29
1125,72,41
1174,80,88
1080,33,83
1197,85,66
1190,83,75
1121,76,25
1111,51,43
1115,56,69
1171,85,80
1160,79,23
1043,38,89
1107,59,51
1126,79,8
1189,79,88
1196,77,76
1176,84,74
1069,30,82
1084,48,59
1017,18,15
1074,45,80
1132,89,20
1029,21,25
1163,78,79
1081,47,53
1191,87,73
1106,61,60
1148,71,19
1147,95,34
1052,35,79
1091,48,55
1079,36,68
1030,23,17
1082,61,55
1098,67,48
1166,75,77
1038,15,20
1103,46,56
1075,27,80
1066,31,84
1142,82,20
1185,81,74
1151,94,22
1047,34,70
1112,62,52
1186,87,81
1057,30,72
1194,84,95
1054,26,82
1012,22,19
1050,32,74
1123,86,37
1192,97,84
1118,56,52
1162,90,92
1154,82,31
1039,16,23
1072,28,81
1195,85,89
1092,48,60
1034,18,35
1032,38,34
1113,57,50
1004,36,20
1173,86,92
1051,29,66
1001,28,28
1110,43,56
1078,20,82
1085,63,38
1145,80,24
1083,64,60
1165,77,86
1053,23,70
1023,25,13
1181,78,73
1003,30,21
1102,48,33
1133,99,19
1095,57,47
1006,23,16
1055,25,71
1149,78,28
1129,96,26
1099,53,46
